brand,name,sku,uom,hsn,parent_group
Accessories,Condensing Unit Stand (Metal),,no.,73012090,Stand
Accessories,Microtek Digi Stab 4090,,no.,,Microtek
Accessories,Microtek Digi Stab 4130,,no.,,Microtek
Accessories,Microtek Digi Stab 4140,,no.,,Microtek
Accessories,Microtek Digi Stab 4150,,no.,,Microtek
Accessories,Microtek Digi Stab 5130,,no.,,Microtek
Accessories,Microtek Stabilizer 4160,,no.,,Microtek
Accessories,Microtek Stabilizer 5170,,no.,,Microtek
Accessories,Microtek Stablizer 4170,,no.,,Microtek
Accessories,Microtek Stablizer 5150,,no.,,Microtek
Accessories,V Guard Stabilizer VWR 400,,no.,,Voltas Stablizer
Accessories,Voltas Stabilizer VA4130 (130-300V),,no.,,Stablizer
Accessories,Voltas Stabilizer VA4150 (150-280V),,no.,,Stablizer
Accessories,Voltas Stabilizer VA5130 (130-300V),,no.,,Stablizer
Accessories,Voltas Stabilizer VN4170 L(170V-270V),,no.,,Stablizer
Accessories,Whirlpool Stablizer WPLC0940 1.5T 90V,,no.,,Stablizer
Accessories,Whirlpool Stablizer WPLMSE1340 1.5T 130V,,no.,,Stablizer
Accessories,Whirlpool Stablizer WPLMSE1350 2T 130V,,no.,,Stablizer
Accessories,Whirlpool Stablizer WPLMSE1540 1.5T 150V,,no.,,Stablizer
Accessories,Whirlpool Stablizer WPLMSE1550 2T 150V,,no.,,Stablizer
Accessories,Whirlpool Stablizer WPLMSE1740 1.5T 170V,,no.,,Stablizer
Connecting Kit Set,Copper Pipe,,mtr,74111000,Connecting Kit Set
Miscellaneous Items,Gen A.C.1.0T Win ASGB12BAWA-B 4S,,no.,84151090,Miscellaneous Items
Miscellaneous Items,Gen Ductable 2.0T AOG25FNAKL OD,,no.,84158390,Miscellaneous Items
Miscellaneous Items,Gen Ductable 2.0T ARG25FUAN ID,,no.,84158390,Miscellaneous Items
Miscellaneous Items,Havells Water Prufier Albus,,no.,84212190,Miscellaneous Items
Miscellaneous Items,Installation Services,,Not Applicable,995463,Miscellaneous Items
Miscellaneous Items,Kenstar Gyser 25L,,no.,85161000,Miscellaneous Items
Miscellaneous Items,Kenstar Gyser Emeta 15L,,no.,85161000,Miscellaneous Items
Miscellaneous Items,Kenstar Induction Infra Stove (All Bartan),,no.,85166000,Miscellaneous Items
Miscellaneous Items,Kenstar Popup Toaster,,no.,85167200,Miscellaneous Items
Miscellaneous Items,ODU Joint (18HP+18HP),,no.,84159000,Miscellaneous Items
Miscellaneous Items,Orient MG Elite Super 3jar 500 Wt,,no.,,Mixer
Miscellaneous Items,Sunflame Electric Kettle SF-193,,no.,85167100,Miscellaneous Items
Miscellaneous Items,"TCL LED TV 32""",,no.,852872,Miscellaneous Items
Miscellaneous Items,"TCL LED TV 40""",,no.,85287217,Miscellaneous Items
Miscellaneous Items,Usha Electric Iron 4175 - M 750w,,no.,85164000,Miscellaneous Items
Miscellaneous Items,W/P SAC 0.8T Magicool S3HAJ0 INV CNV 3S 41364,,no.,84151010,Miscellaneous Items
Miscellaneous Items,Y-Joint,,no.,84159000,Miscellaneous Items
Refrigerator,Bluestar Ref Mini Bar MR60-GB,,no.,,Refrigerator
Refrigerator,Kelvinator Ref 45L KRC-B060SGP,,no.,,Refrigerator
Refrigerator,W/P Ref 200 Gen Cl Pl 1S Sap Adora 72281,,no.,,Refrigerator
Refrigerator,W/P Ref 200 Gen Cl Pl 2S Wine Adora 71799,,no.,,Refrigerator
Refrigerator,W/P Ref 200 Gen CLS Pl,,no.,,Refrigerator
Refrigerator,W/P Ref 200 IMPC Pr 1S Pur Gloria 72494,,no.,,Refrigerator
Refrigerator,W/P Ref 200 IMPC Pr 1S Sap Gloria 72476,,no.,,Refrigerator
Refrigerator,W/P Ref 200 IMPC Pr 1S Wine Gloria 72477,,no.,,Refrigerator
Refrigerator,W/P Ref 205 IMPC Pr 1S Sap Gloria 72865,,no.,,Refrigerator
Refrigerator,W/P Ref 205 IMPC Pr 1S Wine Gloria 72864,,no.,,Refrigerator
Refrigerator,W/P Ref 205 IMPC Pr 1S Wine Linnea 72861,,no.,,Refrigerator
Refrigerator,W/P Ref 205 IMPC Pr 2S Titan Steel,,no.,,Refrigerator
