circlename,regionname,divisionname,officename,pincode,officetype,delivery,district,statename,latitude,longitude
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Mahraniganj BO,229211,BO,Delivery,RAE BARELI,UTTAR PRADESH,27.11,83.5
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Taqia Kala BO,229001,BO,Delivery,RAE BARELI,UTTAR PRADESH,26.23,81.209999999999994
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Asahanjagatpur BO,229301,BO,Delivery,RAE BARELI,UTTAR PRADESH,20.49,85.94
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Kasrawan BO,229301,BO,Delivery,RAE BARELI,UTTAR PRADESH,24.48,81.11
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Uchauri BO,229301,BO,Delivery,RAE BARELI,UTTAR PRADESH,25.75,83.66
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Jagdishpur BO,229310,BO,Delivery,RAE BARELI,UTTAR PRADESH,26.74,80.54
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Lodhwari BO,229310,BO,Delivery,RAE BARELI,UTTAR PRADESH,26.15,81.33
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Tikari Dandu BO,229310,BO,Delivery,RAE BARELI,UTTAR PRADESH,24.94,84.84
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Khurrampur BO,229406,BO,Delivery,RAE BARELI,UTTAR PRADESH,28.78,77.47
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Pothai BO,229302,BO,Delivery,RAE BARELI,UTTAR PRADESH,34.17,118.35
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Pure Wade Singh BO,229302,BO,Delivery,Amethi,UTTAR PRADESH,34.92,95.75
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Sarwan BO,229302,BO,Delivery,Amethi,UTTAR PRADESH,40.92,70.66
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Tenduwa BO,229302,BO,Delivery,Amethi,UTTAR PRADESH,37.48,121.94
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Sarain Mahesha BO,229304,BO,Delivery,Amethi,UTTAR PRADESH,26.26,81.46
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Shahmau BO,229304,BO,Delivery,Amethi,UTTAR PRADESH,26.31,81.52
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Singhpur BO,229304,BO,Delivery,Amethi,UTTAR PRADESH,31.2,75.46
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Chauhania BO,229303,BO,Delivery,RAE BARELI,UTTAR PRADESH,25.41,83.21
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Khidirpurkaraundi BO,229303,BO,Delivery,RAE BARELI,UTTAR PRADESH,27.86,80.58
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Kundanganj BO,229303,BO,Delivery,RAE BARELI,UTTAR PRADESH,26.45,81.11
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Majhigawan BO,229123,BO,Delivery,RAE BARELI,UTTAR PRADESH,26.722,81.463
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Banbharia BO,229801,BO,Delivery,Amethi,UTTAR PRADESH,26.54083,81.466
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Jijauli BO,229801,BO,Delivery,Amethi,UTTAR PRADESH,26.454,81.336
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Ram Garh Tikaria BO,229402,BO,Delivery,RAE BARELI,UTTAR PRADESH,23.65,85.56
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Shankarpur BO,229402,BO,Delivery,RAE BARELI,UTTAR PRADESH,21.64,87.56
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Tikar Agachipur BO,229402,BO,Delivery,RAE BARELI,UTTAR PRADESH,26.09,81.24
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Jaudaha BO,229124,BO,Delivery,RAE BARELI,UTTAR PRADESH,25.9678,81.5239
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Amawan BO,229306,BO,Delivery,RAE BARELI,UTTAR PRADESH,26.25,81.25
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Garhi Majre Pokhanni BO,229306,BO,Delivery,RAE BARELI,UTTAR PRADESH,28.977,77.33
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Khurehti BO,229128,BO,Delivery,RAE BARELI,UTTAR PRADESH,26.74,85.43
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Semra BO,229128,BO,Delivery,RAE BARELI,UTTAR PRADESH,38.9,77.06
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Tewaripur BO,229128,BO,Delivery,RAE BARELI,UTTAR PRADESH,25.24,82.73
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Bhuemau BO,229405,BO,Delivery,RAE BARELI,UTTAR PRADESH,28.78,79.02
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Khagipur Sandwa BO,229405,BO,Delivery,RAE BARELI,UTTAR PRADESH,26.61,79.48
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Sawaiya Hasan BO,229404,BO,Delivery,RAE BARELI,UTTAR PRADESH,26.2999722,81.0251944
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Asharasidpur BO,229129,BO,Delivery,RAE BARELI,UTTAR PRADESH,21.1,78.79
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Burdhanpur BO,229316,BO,Delivery,RAE BARELI,UTTAR PRADESH,21.31,76.22
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Sarawan BO,229316,BO,Delivery,RAE BARELI,UTTAR PRADESH,34.03,118.73
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Nain BO,229127,BO,Delivery,RAE BARELI,UTTAR PRADESH,32.63,35.34
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Purab Nain BO,229129,BO,Delivery,RAE BARELI,UTTAR PRADESH,26.053143,81.295695
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Rewhara BO,229127,BO,Delivery,RAE BARELI,UTTAR PRADESH,36.75,95.97
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Khekharua BO,229126,BO,Delivery,Amethi,UTTAR PRADESH,26.45,81.4
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,Dahigawan BO,229308,BO,Delivery,RAE BARELI,UTTAR PRADESH,19.98,72.89
Uttar Pradesh Circle,Lucknow  HQ Region,Rae Bareilly Division,JPNatai BO,229308,BO,Delivery,RAE BARELI,UTTAR PRADESH,26.508144,81.239492
